quando,fonte,tipo,loja,vendedor,titulo,preco,preco_pix,parcelado,cupom,url
2026-09-13T15:31:09-03:00,amazon,loja,Amazon,Fast Shop Loja Oficial,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3278.06,,"12x R$ 273,19 sem juros",,https://www.amazon.com.br/dp/B0F7JZMVKF
2026-09-13T15:31:09-03:00,casasbahia,loja,Casas Bahia,Casas Bahia,Smart TV 55” TCL 55C6K 4K QD-Mini Led 144Hz Sistema Operacional Google TV,3599.09,,"11x R$ 399,83",,https://www.casasbahia.com.br/smart-tv-55-tcl-55c6k-4k-qd-mini-led-144hz-sistema-operacional-google-tv/p/55069456
2026-09-13T15:31:09-03:00,mercadolivre,loja,Mercado Livre,CIPOLONI ELETRO,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3519.9,,10x R$ 429,,https://www.mercadolivre.com.br/smart-tv-tcl-55-polegadas-qled-mini-led-4k-c6k-wifi-bluetooth-google-tv-4-hdmi-144hz-hdr10-55c6k/p/MLB48808732
2026-09-13T15:31:09-03:00,aliexpress,loja,AliExpress,,"Smart TV 55"" TCL 4K UHD MiniLED 55C6K 120Hz Google TV AiPQ Google Assistente 4 HDMI 2 USB R$ 3 . 799 R$4.199 -9% 4.8 5.000+ vendido(s) Top v",4199.0,,,,https://pt.aliexpress.com/item/1005009459962683.html
2026-09-14T21:08:06-03:00,amazon,loja,Amazon,Fast Shop Loja Oficial,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3199.0,,"12x R$ 266,62 sem juros",,https://www.amazon.com.br/dp/B0F7JZMVKF
2026-09-14T21:08:06-03:00,casasbahia,loja,Casas Bahia,Casas Bahia,Smart TV 55” TCL 55C6K 4K QD-Mini Led 144Hz Sistema Operacional Google TV,3599.09,,"11x R$ 399,83",,https://www.casasbahia.com.br/smart-tv-55-tcl-55c6k-4k-qd-mini-led-144hz-sistema-operacional-google-tv/p/55069456
2026-09-14T21:08:06-03:00,aliexpress,loja,AliExpress,,"Smart TV 55"" TCL 4K UHD MiniLED 55C6K 120Hz Google TV AiPQ Google Assistente 4 HDMI 2 USB R$ 3 . 799 R$4.199 -9% 4.8 5.000+ vendido(s) Top v",4199.0,,,,https://pt.aliexpress.com/item/1005009459962683.html
2026-09-14T22:07:14-03:00,amazon,loja,Amazon,Fast Shop Loja Oficial,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3199.0,,"12x R$ 266,62 sem juros",,https://www.amazon.com.br/dp/B0F7JZMVKF
2026-09-14T22:07:14-03:00,casasbahia,loja,Casas Bahia,Casas Bahia,Smart TV 55” TCL 55C6K 4K QD-Mini Led 144Hz Sistema Operacional Google TV,3599.09,,"11x R$ 399,83",,https://www.casasbahia.com.br/smart-tv-55-tcl-55c6k-4k-qd-mini-led-144hz-sistema-operacional-google-tv/p/55069456
2026-09-14T22:07:14-03:00,aliexpress,loja,AliExpress,,"Smart TV 55"" TCL 4K UHD MiniLED 55C6K 120Hz Google TV AiPQ Google Assistente 4 HDMI 2 USB R$ 3 . 799 R$4.199 -9% 4.8 5.000+ vendido(s) Top v",4199.0,,,,https://pt.aliexpress.com/item/1005009459962683.html
2026-09-15T20:11:53-03:00,amazon,loja,Amazon,Fast Shop Loja Oficial,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3199.0,,"12x R$ 266,62 sem juros",,https://www.amazon.com.br/dp/B0F7JZMVKF
2026-09-15T20:11:53-03:00,casasbahia,loja,Casas Bahia,Casas Bahia,Smart TV 55” TCL 55C6K 4K QD-Mini Led 144Hz Sistema Operacional Google TV,3599.09,,"11x R$ 399,83",,https://www.casasbahia.com.br/smart-tv-55-tcl-55c6k-4k-qd-mini-led-144hz-sistema-operacional-google-tv/p/55069456
2026-09-15T20:11:53-03:00,mercadolivre,loja,Mercado Livre,,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3879.02,,10x R$ 399,,https://www.mercadolivre.com.br/smart-tv-tcl-55-polegadas-qled-mini-led-4k-c6k-wifi-bluetooth-google-tv-4-hdmi-144hz-hdr10-55c6k/p/MLB48808732
2026-09-15T20:11:53-03:00,aliexpress,loja,AliExpress,,"Smart TV 55"" TCL 4K UHD MiniLED 55C6K 120Hz Google TV AiPQ Google Assistente 4 HDMI 2 USB R$ 4 . 069 R$4.199 4.8 5.000+ vendido(s) Top venda",4199.0,,,,https://pt.aliexpress.com/item/1005009459962683.html
2026-09-16T20:48:25-03:00,amazon,loja,Amazon,Magalu.,Smart TV TCL 55 Polegadas QLED Mini LED 4K C6K WiFi Bluetooth Google TV 4 HDMI 144Hz HDR10+ 55C6K,3549.0,,"12x R$ 330,51",,https://www.amazon.com.br/dp/B0F7JZMVKF
2026-09-16T20:48:25-03:00,mercadolivre,loja,Mercado Livre,,Smart Tv Tcl 55 Polegadas Qd-Mini Led 4k C6k Wifi Bluetooth Google Tv 4 Hdmi 144hz Hdr10+ 55c6k,3879.02,,10x R$ 399,,https://www.mercadolivre.com.br/smart-tv-tcl-55-polegadas-qd-mini-led-4k-c6k-wifi-bluetooth-google-tv-4-hdmi-144hz-hdr10-55c6k/p/MLB48808732
2026-09-16T20:48:25-03:00,aliexpress,loja,AliExpress,,"Smart TV 55"" TCL 4K UHD MiniLED 55C6K 120Hz Google TV AiPQ Google Assistente 4 HDMI 2 USB R$ 4 . 069 R$4.199 4.8 5.000+ vendido(s) Top venda",4199.0,,,,https://pt.aliexpress.com/item/1005009459962683.html
